time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5014.051922	268.404480	1.521492	0.109656	167
5016.141475	268.498169	1.520978	0.108379	169
5018.229356	268.439270	1.518472	0.107077	171
5020.317761	268.474365	1.514909	0.105657	173
5022.405969	268.601715	1.511052	0.104446	175
5024.495488	268.642120	1.511631	0.103297	177
5026.583885	268.745361	1.512994	0.102442	179
5028.672136	268.785431	1.513626	0.102153	181
5030.759944	268.773071	1.510170	0.101162	183
5032.849953	268.907776	1.507134	0.099715	185
5034.938396	268.924072	1.504895	0.098610	187
5037.027536	268.883972	1.505143	0.097991	189
5039.115872	268.852875	1.504317	0.096595	191
5041.204424	268.941559	1.500098	0.095478	193
5043.293426	269.043091	1.498234	0.094335	195
5045.382660	269.078644	1.498190	0.093973	197
5047.471576	269.076508	1.496485	0.092953	199
5049.559855	269.144104	1.492756	0.091856	201
5051.648594	269.159454	1.493056	0.090655	203
5053.737758	269.174744	1.490845	0.090278	205
5055.826898	269.225098	1.489537	0.089024	207
5057.915468	269.233521	1.488833	0.088057	209
5060.004680	269.162903	1.486906	0.086857	211
5062.092829	269.220001	1.484685	0.085995	213
5064.181578	269.229950	1.483282	0.085081	215
5066.270731	269.360840	1.478313	0.083810	217
5068.359628	269.403137	1.481026	0.082885	219
5070.447705	269.367615	1.478800	0.081856	221
5072.536827	269.367828	1.480781	0.081132	223
5074.625130	269.453796	1.478741	0.080163	225
5076.713972	269.578461	1.478606	0.078954	227
5078.802364	249.853622	0.591607	0.143554	229
5079.865361	172.848862	0.194367	0.500000	231
5081.954098	87.098755	1.466245	0.076805	233
5084.043134	87.146111	1.462193	0.075693	235
5086.132092	87.129013	1.460180	0.074693	237
5088.221308	87.127686	1.459216	0.073708	239
5090.309426	87.170090	1.458654	0.072641	241
5092.398500	87.231041	1.454682	0.071512	243
5094.487922	87.207146	1.452749	0.070476	245
5096.575320	87.326729	1.453340	0.069103	247
5098.664200	87.327454	1.450481	0.068271	249
5100.753728	87.362907	1.451899	0.067631	251
5102.842067	87.341957	1.450526	0.066924	253
5104.930499	87.413712	1.450283	0.065679	255
5107.019362	87.494324	1.448172	0.064586	1
5109.107673	87.537941	1.441716	0.063497	3
5111.196895	87.570534	1.438762	0.062159	5
5113.285491	87.664253	1.440759	0.061277	7
5115.373813	87.699425	1.438507	0.060267	9
5117.462541	87.810524	1.439016	0.059564	11
5119.550887	87.801720	1.437264	0.058729	13
5121.639108	87.972282	1.432720	0.057431	15
5123.727965	88.046906	1.431900	0.056274	17
5125.816514	88.142204	1.429277	0.055456	19
5127.904403	88.221565	1.427720	0.054189	21
5129.993174	88.254448	1.425884	0.053523	23
5132.081537	88.328400	1.426286	0.052425	25
5134.170489	88.404045	1.425072	0.051215	27
5136.258706	88.466553	1.420843	0.050164	29
5138.346986	88.505760	1.419390	0.049244	31
5140.435584	88.534492	1.416989	0.048562	33
5142.524471	88.572067	1.415854	0.047502	35
5144.612882	88.617981	1.411883	0.046161	37
5146.701179	88.673515	1.411324	0.045356	39
5148.789735	88.711296	1.409809	0.044301	41
5150.878578	88.693237	1.409645	0.043303	43
5152.966858	88.784096	1.407490	0.042234	45
5155.055435	88.835236	1.406622	0.041306	47
5157.144508	88.808868	1.407025	0.040637	49
5159.232701	88.853806	1.405521	0.039626	51
5161.321553	88.875946	1.405102	0.038669	53
5163.410393	88.910866	1.402065	0.037792	55
5165.499128	88.938103	1.402453	0.036696	57
5167.587663	89.001823	1.400858	0.035844	59
5169.676663	88.998970	1.397984	0.035111	61
5171.764857	88.994301	1.394348	0.034462	63
