crossing time (s)	slope (V/s)	crossing number
9564.621720	138.760098	8500
9565.656308	134.761239	8501
9566.705019	138.537556	8502
9567.764337	142.504176	8503
9568.831944	141.532456	8504
9569.861343	139.044444	8505
9570.880103	135.868869	8506
9571.945621	139.200705	8507
9573.016575	140.509499	8508
9574.050628	145.306996	8509
9575.094995	142.698779	8510
9576.099934	136.645558	8511
9577.186943	137.514456	8512
9578.222617	138.636413	8513
9579.276128	141.679352	8514
9580.292158	147.072003	8515
9581.376872	139.008136	8516
9582.400972	140.564111	8517
9583.430258	134.927813	8518
9584.466382	136.172297	8519
9585.572073	137.942202	8520
9586.591954	144.279120	8521
9587.620538	139.529208	8522
9588.622310	136.171851	8523
9589.685410	136.249724	8524
9590.783077	137.156406	8525
9591.763752	137.087395	8526
9592.824014	137.768221	8527
9593.889890	136.376254	8528
9594.904960	134.983275	8529
9595.972091	139.742244	8530
9597.000747	142.348862	8531
9598.064934	139.994965	8532
9599.143676	136.959205	8533
9600.141026	139.385254	8534
9601.210010	139.365913	8535
9602.234471	134.136892	8536
9603.340015	141.608768	8537
9604.352833	138.042042	8538
9605.361796	141.932781	8539
9606.443889	139.999956	8540
9607.465396	134.720964	8541
9608.554280	134.196247	8542
9609.527679	139.891267	8543
9610.584537	139.452658	8544
9611.663343	140.700547	8545
9612.645374	140.767907	8546
9613.716911	139.465833	8547
9614.736941	135.420007	8548
9615.799713	134.258884	8549
9616.828852	137.674601	8550
9617.923516	135.244517	8551
9618.942049	137.893604	8552
9620.009924	136.427612	8553
9621.031710	136.620602	8554
9622.060496	133.721565	8555
9623.155795	137.163556	8556
9624.163867	138.173991	8557
9625.242186	132.931262	8558
9626.271348	134.463764	8559
9627.331636	133.509347	8560
9628.357223	132.934352	8561
9629.339992	137.116341	8562
9630.467415	137.339588	8563
9631.486423	135.675193	8564
9632.531980	132.818051	8565
9633.558369	135.815305	8566
9634.605767	134.961552	8567
9635.635417	133.492971	8568
9636.764874	133.947872	8569
9637.733619	132.547484	8570
9638.741664	132.737591	8571
9639.833978	134.734063	8572
9640.896421	131.983070	8573
9641.858520	131.930100	8574
9642.988958	137.039286	8575
9644.058561	136.155400	8576
9645.045611	135.909126	8577
9646.048298	134.716509	8578
9647.157332	132.381455	8579
9648.204891	132.445208	8580
9649.243072	131.809671	8581
9650.277342	132.429361	8582
9651.302323	130.591799	8583
9652.341008	133.428381	8584
9653.427927	132.005253	8585
9654.481706	130.154211	8586
9655.491211	134.643333	8587
9656.479594	129.979434	8588
9657.574982	134.866771	8589
9658.635941	132.047210	8590
9659.663095	135.097685	8591
9660.750254	128.782067	8592
9661.733202	130.248524	8593
9662.802328	133.451538	8594
9663.873298	132.562002	8595
9664.908691	133.460328	8596
9665.955591	128.154633	8597
9666.939288	132.704569	8598
9668.016014	128.627569	8599
9669.079352	127.767697	8600
9670.082841	128.946962	8601
9671.135793	127.749575	8602
9672.219379	130.453303	8603
9673.241790	131.975179	8604
9674.296999	129.367779	8605
9675.317345	131.958317	8606
9676.378209	128.939597	8607
9677.401036	128.637881	8608
9678.418874	126.981045	8609
9679.478208	129.774825	8610
9680.542144	132.478234	8611
9681.609468	130.190997	8612
9682.625290	127.205216	8613
9683.678120	125.858595	8614
9684.741988	130.216459	8615
9685.800415	126.975615	8616
9686.810896	130.287549	8617
9687.808981	126.415007	8618
9688.918527	127.645405	8619
9689.935596	129.595257	8620
9691.006533	128.202451	8621
9692.045436	126.564475	8622
9693.052409	126.192703	8623
9694.116287	127.747564	8624
9695.189517	129.504398	8625
9696.179831	128.291767	8626
9697.234110	129.103512	8627
9698.311443	125.892036	8628
9699.343126	129.221101	8629
9700.395927	124.329596	8630
9701.425801	125.044453	8631
9702.478327	125.256424	8632
9703.515349	129.002752	8633
9704.534127	125.276418	8634
9705.637852	127.857279	8635
9706.702982	123.940882	8636
9707.720638	125.025603	8637
9708.753937	125.419694	8638
9709.759290	128.746784	8639
9710.820568	124.498533	8640
9711.874238	122.921944	8641
9712.924151	124.139231	8642
9713.978031	124.073993	8643
9715.023927	124.349866	8644
9716.032190	125.634175	8645
9717.090934	121.650883	8646
9718.136735	124.831503	8647
9719.163378	125.866767	8648
9720.211660	125.482480	8649
9721.239552	121.575110	8650
9722.325731	121.877368	8651
9723.399508	122.034046	8652
9724.382485	125.025734	8653
9725.431072	124.451665	8654
9726.501521	121.683187	8655
9727.535072	120.268017	8656
9728.616218	121.610207	8657
9729.611607	123.801459	8658
9730.659417	123.857898	8659
9731.718986	122.609298	8660
9732.772654	124.972059	8661
9733.806971	120.993126	8662
9734.831827	121.009582	8663
9735.843401	121.178893	8664
9736.904653	120.118540	8665
9737.989502	121.021188	8666
9739.031392	121.543541	8667
9740.059157	120.308144	8668
9741.110505	121.990286	8669
9742.144563	121.697671	8670
9743.211075	119.048173	8671
9744.251519	121.145497	8672
9745.282663	119.805217	8673
9746.325488	118.690974	8674
9747.385995	119.316569	8675
9748.418319	120.961952	8676
9749.478890	120.495562	8677
9750.522319	118.794292	8678
9751.589461	118.210438	8679
9752.607370	117.243496	8680
9753.631400	118.924304	8681
9754.675278	119.867176	8682
9755.732534	116.958403	8683
9756.774219	117.979351	8684
9757.769065	117.112633	8685
9758.830611	117.425145	8686
9759.883331	115.597903	8687
9760.946674	116.738970	8688
9761.974130	116.763983	8689
9762.998362	118.440035	8690
9764.109204	116.240503	8691
9765.120253	116.184902	8692
9766.138306	116.013446	8693
9767.139794	114.141152	8694
9768.260474	114.901540	8695
9769.284913	118.090842	8696
9770.353546	115.258087	8697
9771.353821	116.501081	8698
9772.436890	116.001280	8699
9773.457770	117.350871	8700
9774.551997	114.431848	8701
9775.556152	114.276845	8702
9776.612492	114.796954	8703
9777.694563	113.464725	8704
9778.711615	113.068444	8705
9779.711075	113.290270	8706
9780.779792	113.233763	8707
9781.815892	112.539031	8708
9782.857750	114.084958	8709
9783.901777	112.615476	8710
9784.972778	113.699972	8711
9785.999152	111.739155	8712
9787.052594	115.920946	8713
9788.113088	111.812410	8714
9789.133404	113.610878	8715
9790.182545	111.099464	8716
9791.239409	113.883968	8717
9792.238497	110.477574	8718
9793.342904	111.019420	8719
9794.337683	111.002085	8720
9795.414060	110.358857	8721
9796.453931	111.069157	8722
9797.513895	110.997186	8723
9798.588524	111.262214	8724
9799.591239	111.923048	8725
9800.570634	111.069046	8726
9801.711632	109.290799	8727
9802.717551	110.395971	8728
9803.754850	110.233790	8729
9804.757317	109.788078	8730
9805.838722	110.066775	8731
9806.857788	109.150489	8732
9807.938403	108.082458	8733
9809.003582	109.522362	8734
9810.006944	109.647535	8735
9811.033584	108.802000	8736
9812.111504	107.400224	8737
9813.163203	107.495858	8738
9814.219549	107.676030	8739
9815.241367	109.263266	8740
9816.266469	109.637033	8741
9817.311946	105.954895	8742
9818.368601	108.601288	8743
9819.471112	108.384450	8744
9820.465855	107.515296	8745
9821.519223	106.712361	8746
9822.537518	108.684643	8747
9823.613767	106.638327	8748
9824.630943	107.519510	8749
9825.693107	107.370385	8750
9826.692252	107.872380	8751
9827.800796	105.943959	8752
9828.858856	106.373820	8753
9829.843007	104.445637	8754
9830.890941	107.458426	8755
9831.960665	104.685429	8756
9833.007830	105.413015	8757
9834.024702	103.910586	8758
9835.096473	105.091209	8759
9836.129776	103.076676	8760
9837.157632	103.808948	8761
9838.199698	106.752674	8762
9839.235190	103.782875	8763
9840.314048	105.625008	8764
9841.372795	104.578753	8765
9842.361254	104.561392	8766
9843.426912	105.796987	8767
9844.485324	104.406872	8768
9845.549518	104.722401	8769
9846.567378	103.312405	8770
9847.554418	106.502737	8771
9848.600281	102.328373	8772
9849.706789	106.304516	8773
9850.761398	99.555805	8774
9851.768756	102.507262	8775
9852.827474	101.930771	8776
9853.858797	102.956667	8777
9854.897902	102.357742	8778
9856.032529	100.462293	8779
9857.000931	98.949602	8780
9858.067989	103.603319	8781
9859.110722	101.009318	8782
9860.150881	102.364244	8783
9861.165621	99.428530	8784
9862.270610	101.489095	8785
9863.284882	98.492344	8786
9864.337435	102.121544	8787
9865.378220	97.761584	8788
9866.413135	102.881212	8789
9867.450150	97.503434	8790
9868.529661	100.189992	8791
9869.552203	98.735111	8792
9870.576728	100.032828	8793
9871.655638	99.798511	8794
9872.644760	98.195950	8795
9873.739860	100.623774	8796
9874.778884	98.103912	8797
9875.809441	100.229229	8798
9876.856292	97.603984	8799
9877.889251	98.590537	8800
9878.922785	98.537126	8801
9879.978513	97.605304	8802
9881.029226	96.628881	8803
9882.090418	95.742414	8804
9883.117839	96.502040	8805
9884.156564	97.042417	8806
9885.228988	98.025847	8807
9886.248762	95.847455	8808
9887.320529	95.940312	8809
9888.272657	96.087700	8810
9889.365035	96.675027	8811
9890.444332	95.901821	8812
9891.492961	96.663793	8813
9892.567885	95.065578	8814
9893.573796	96.809348	8815
9894.623624	95.353562	8816
9895.677805	96.052381	8817
9896.678341	92.455004	8818
9897.687295	97.330657	8819
9898.794819	92.768176	8820
9899.847423	97.958236	8821
9900.911457	93.296511	8822
9901.920689	94.066080	8823
9902.946258	93.505135	8824
9904.006800	94.487233	8825
9905.040487	91.078190	8826
9906.070333	96.343564	8827
9907.129252	93.585804	8828
9908.169074	96.157429	8829
9909.225268	93.230200	8830
9910.268985	95.378759	8831
9911.334269	90.966569	8832
9912.345831	96.196267	8833
9913.374237	94.560929	8834
9914.458774	93.828695	8835
9915.470222	89.057044	8836
9916.576040	95.068551	8837
9917.573382	93.709709	8838
9918.611206	94.011824	8839
9919.676190	91.742301	8840
9920.707384	93.880450	8841
9921.779808	91.550660	8842
9922.793807	93.214000	8843
9923.828218	93.880337	8844
9924.898529	92.677831	8845
9925.939512	91.677015	8846
9926.959052	91.869776	8847
9928.028655	92.359568	8848
9929.055720	92.889467	8849
